trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9007-0720,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0721,07:12:00,07:12:00,paris_nord,1,1,0
9007-0721,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0722,07:12:00,07:12:00,paris_nord,1,1,0
9007-0722,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0723,07:12:00,07:12:00,paris_nord,1,1,0
9007-0723,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0724,07:12:00,07:12:00,paris_nord,1,1,0
9007-0724,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0725,07:12:00,07:12:00,paris_nord,1,1,0
9007-0725,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0727,07:12:00,07:12:00,paris_nord,1,1,0
9007-0727,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0728,07:02:00,07:02:00,paris_nord,1,1,0
9007-0728,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0729,07:02:00,07:02:00,paris_nord,1,1,0
9007-0729,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0730,07:02:00,07:02:00,paris_nord,1,1,0
9007-0730,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0731,07:02:00,07:02:00,paris_nord,1,1,0
9007-0731,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0801,07:02:00,07:02:00,paris_nord,1,1,0
9007-0801,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0803,07:02:00,07:02:00,paris_nord,1,1,0
9007-0803,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0804,07:02:00,07:02:00,paris_nord,1,1,0
9007-0804,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0805,07:02:00,07:02:00,paris_nord,1,1,0
9007-0805,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0806,07:02:00,07:02:00,paris_nord,1,1,0
9007-0806,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0807,07:02:00,07:02:00,paris_nord,1,1,0
9007-0807,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0808,07:02:00,07:02:00,paris_nord,1,1,0
9007-0808,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0810,07:02:00,07:02:00,paris_nord,1,1,0
9007-0810,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0811,07:02:00,07:02:00,paris_nord,1,1,0
9007-0811,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0812,07:02:00,07:02:00,paris_nord,1,1,0
9007-0812,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0813,07:02:00,07:02:00,paris_nord,1,1,0
9007-0813,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0814,07:02:00,07:02:00,paris_nord,1,1,0
9007-0814,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0815,07:02:00,07:02:00,paris_nord,1,1,0
9007-0815,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0817,07:02:00,07:02:00,paris_nord,1,1,0
9007-0817,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0818,07:02:00,07:02:00,paris_nord,1,1,0
9007-0818,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0819,07:02:00,07:02:00,paris_nord,1,1,0
9007-0819,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0820,07:02:00,07:02:00,paris_nord,1,1,0
9007-0820,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0821,07:02:00,07:02:00,paris_nord,1,1,0
